"Municipio","Año","Tipo de delito","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre","total"
"Acatlán",2019,"Violencia familiar",1,2,7,4,3,0,2,4,5,1,1,1,31
"Acatlán",2020,"Aborto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Abuso de confianza",0,0,1,0,0,0,0,0,1,0,0,0,2
"Acatlán",2020,"Abuso sexual",0,0,0,1,0,0,0,0,1,1,0,0,3
"Acatlán",2020,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Allanamiento de morada",0,1,0,0,0,0,0,1,0,0,0,0,2
"Acatlán",2020,"Amenazas",1,2,3,2,0,0,0,3,1,4,0,0,16
"Acatlán",2020,"Contra el medio ambiente",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Corrupción de menores",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Daño a la propiedad",1,1,2,0,1,0,0,1,1,0,0,0,7
"Acatlán",2020,"Delitos cometidos por servidores públicos",0,0,0,0,0,0,0,1,0,0,0,0,1
"Acatlán",2020,"Despojo",0,0,1,0,0,0,0,1,1,0,0,1,4
"Acatlán",2020,"Electorales",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Evasión de presos",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Extorsión",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Falsedad",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Falsificación",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Fraude",0,1,0,0,0,0,0,3,1,0,0,1,6
"Acatlán",2020,"Homicidio",0,1,0,0,0,0,0,0,0,0,0,0,1
"Acatlán",2020,"Hostigamiento sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Incesto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Incumplimiento de obligaciones de asistencia familiar",0,0,1,0,0,0,0,0,1,0,0,0,2
"Acatlán",2020,"Lesiones",2,2,3,2,0,3,0,3,0,0,0,1,16
